selected_order,ts_code,trade_date,total_mv,name,list_date,market_cap_rank_all_sh_sz_a,listing_age_eligible,market_cap_rank,selection_type,total_mv_cny_100m,listing_age_months_min,listing_cutoff_date
76,603288.SH,20260813,21180782.9,海天味业,20140211,77,True,76,top_total_mv,2118.07829,3,20260513
77,600690.SH,20260813,20433855.1163,海尔智家,19931119,78,True,77,top_total_mv,2043.38551163,3,20260513
78,601066.SH,20260813,20144136.3956,中信建投,20180620,79,True,78,top_total_mv,2014.4136395599999,3,20260513
79,688072.SH,20260813,19914708.969,拓荆科技,20220420,80,True,79,top_total_mv,1991.4708969,3,20260513
80,003816.SZ,20260813,19745037.7989,中国广核,20190826,81,True,80,top_total_mv,1974.50377989,3,20260513
81,600406.SH,20260813,19027230.4378,国电南瑞,20031016,82,True,81,top_total_mv,1902.7230437800001,3,20260513
82,301377.SZ,20260813,18869999.563,鼎泰高科,20221122,83,True,82,top_total_mv,1886.9999563000001,3,20260513
83,301666.SZ,20260813,18757300.9,大普微,20260416,84,True,83,top_total_mv,1875.7300899999998,3,20260513
84,688498.SH,20260813,18683511.0204,源杰科技,20221221,85,True,84,top_total_mv,1868.35110204,3,20260513
85,300760.SZ,20260813,18587790.9966,迈瑞医疗,20181016,86,True,85,top_total_mv,1858.77909966,3,20260513
86,601898.SH,20260813,18469318.1162,中煤能源,20080201,87,True,86,top_total_mv,1846.93181162,3,20260513
87,601668.SH,20260813,18346253.3376,中国建筑,20090729,88,True,87,top_total_mv,1834.62533376,3,20260513
88,300433.SZ,20260813,18290837.2185,蓝思科技,20150318,89,True,88,top_total_mv,1829.0837218499998,3,20260513
89,601336.SH,20260813,18246228.0634,新华保险,20111216,90,True,89,top_total_mv,1824.6228063400001,3,20260513
90,300604.SZ,20260813,18185404.8228,长川科技,20170417,91,True,90,top_total_mv,1818.5404822799999,3,20260513
91,601985.SH,20260813,18140977.8522,中国核电,20150610,92,True,91,top_total_mv,1814.09778522,3,20260513
92,600025.SH,20260813,18090792.5653,华能水电,20171215,93,True,92,top_total_mv,1809.0792565299998,3,20260513
93,601818.SH,20260813,17843836.4322,光大银行,20100818,94,True,93,top_total_mv,1784.38364322,3,20260513
94,601688.SH,20260813,17656545.5928,华泰证券,20100226,96,True,94,top_total_mv,1765.6545592799998,3,20260513
95,603268.SH,20260813,17650289.0094,松发股份,20150319,97,True,95,top_total_mv,1765.0289009399999,3,20260513
96,600930.SH,20260813,17519999.994,华电新能,20250716,98,True,96,top_total_mv,1751.9999994,3,20260513
97,300033.SZ,20260813,17454474.24,同花顺,20091225,99,True,97,top_total_mv,1745.4474239999997,3,20260513
98,002352.SZ,20260813,17354455.4976,顺丰控股,20100205,101,True,98,top_total_mv,1735.44554976,3,20260513
99,600031.SH,20260813,17213048.2368,三一重工,20030703,102,True,99,top_total_mv,1721.30482368,3,20260513
100,300058.SZ,20260813,5475087.33,蓝色光标,20100226,370,True,366,forced_blue_cursor,547.508733,3,20260513
